GRUP;TAHSILATAY;SORUMLUAVUKAT;DEVIR;ANAPARA;FAIZ;TAHSILATDURUM;CARIYILSEVK;ODEMEGUN;ANAPARAFAIZ
GRUP 2;Ağustos;;2019;17895.65;7920.94;Yasal Takip;;20;25816.59
GRUP 2;Şubat;;2018;7278.43;4999.14;Yasal Takip;;26;12277.57
GRUP 2;Ağustos;;2014;7760.65;2152.12;Yasal Takip;;31;9912.77
GRUP 2;Şubat;;2017;10724.5;3026.06;Yasal Takip;;16;13750.56
GRUP 2;Kasım;;2020;32856.83;6178.32;Yasal Takip;2021;9;39035.15
GRUP 2;Aralık;;2020;44281.76;10890.02;Yasal Takip;;1;55171.78
GRUP 2;Ağustos;;2020;55050.85;16800.49;Yasal Takip;;13;71851.34
GRUP 2;Şubat;;2020;80017.52;12193.77;Yasal Takip;;2;92211.29
GRUP 2;Mayıs;;2015;14381.27;238.41;Yasal Takip;;25;14619.68
GRUP 2;Ocak;;2020;210749.68;18492.53;Yasal Takip;;12;229242.21
GRUP 2;Temmuz;;2017;3562.58;4903.96;Yasal Takip;;27;8466.54
GRUP 2;Kasım;;2015;8193.2;573.54;Yasal Takip;;23;8766.74
GRUP 2;Nisan;;2020;68819.44;14734.96;Yasal Takip;;6;83554.4
GRUP 2;Haziran;;2020;73485.6;13694.22;Yasal Takip;;21;87179.82
GRUP 2;Mayıs;;2017;9709.59;4450.4;Yasal Takip;;27;14159.99
GRUP 2;Ekim;;2020;54451.51;22385.08;Yasal Takip;;18;76836.59
GRUP 2;Ocak;;2018;13395.25;9305.63;Yasal Takip;;19;22700.88
GRUP 2;Aralık;;2021/01;49001.46;5113.44;Yasal Takip;;20;54114.9
GRUP 2;Mayıs;;2013;0;4431.59;Yasal Takip;;18;4431.59
GRUP 2;Aralık;;2020;74580.26;24989.8;Yasal Takip;;17;99570.06
GRUP 2;Haziran;;2015;6821.15;2879.37;Yasal Takip;;7;9700.52
GRUP 2;Nisan;;2021/02;34874.59;972.7;Yasal Takip;;12;35847.29
GRUP 2;Ağustos;;2019;29829.48;18050.82;Yasal Takip;;31;47880.3
GRUP 2;Mart;;2020;93336.69;25044.69;Yasal Takip;;17;118381.38
GRUP 2;Ekim;;2017;5064.59;2242.66;Yasal Takip;;25;7307.25
GRUP 2;Aralık;;2018;48447.14;40478.06;Yasal Takip;;9;88925.2
GRUP 2;Ekim;;2020;21256.77;6479.04;Yasal Takip;2021;13;27735.81
GRUP 2;Haziran;;2021/01;9115.46;1787.36;Yasal Takip;;15;10902.82
GRUP 2;Eylül;;2019;1008.16;863.61;Yasal Takip;;12;1871.77
GRUP 2;Şubat;;2020;90562.42;13671.01;Yasal Takip;;8;104233.43
GRUP 2;Haziran;;2015;0;173.4;Yasal Takip;;20;173.4
GRUP 2;Ekim;;2016;10753.94;2422.44;Yasal Takip;;19;13176.38
GRUP 2;Şubat;;2018;7864.81;4910.5;Yasal Takip;;2;12775.31
GRUP 2;Kasım;;2017;30174.79;18807.76;Yasal Takip;;1;48982.55
GRUP 2;Kasım;;2020;23993.56;8536.65;Yasal Takip;2021;29;32530.21
